name,Av_gas,Av_gas_err,Av_star
cdfs_24904,3.67,,1.205
cdfs_26404,,,0.205
cdfs_26954,,,1.169
cdfs_27318,0.06,0.42,1.362
cdfs_28138,0.40,0.52,0.984
cdfs_29207,0.99,0.76,1.492
cdfs_29589,0.43,0.88,0.617
cdfs_29831,,,0.836
cdfs_30267,,,0.45
cdfs_30450,1.65,0.72,0.401
cdfs_30557,,,2.157
cdfs_30561,,,1.546
cdfs_30732,2.52,,1.404
cdfs_30865,0.52,0.24,0.643
cdfs_31127,,,1.012
cdfs_31671,,,1.206
cdfs_31721,1.91,0.87,0.755
cdfs_33014,1.01,0.50,0.744
cdfs_33246,,,0.936
cdfs_35213,2.11,,2.096
GS4_10784,2.57,,0.859
GS4_16960,,,0.859
