x,y
1515825369.153,8.391
1744845767.339,8.404
1982393519.571,8.413
2230667810.943,8.423
2496425382.118,8.431
2767200177.924,8.439
3095763055.405,8.447
3443937258.847,8.454
3872578250.033,8.461
4289523813.923,8.468
4825292597.673,8.475
5468075657.296,8.482
6150678020.342,8.489
6946189072.874,8.494
7857324632.532,8.499
8784982712.581,8.504
9872153838.678,8.51
11202368377.676,8.515
12608000097.487,8.519
14362833643.912,8.524
16143676867.536,8.527
18222893050.359,8.531
20308346434.668,8.534
22842834603.009,8.537
26147567692.413,8.54
30274930586.045,8.544
34194711819.642,8.546
39145278487.771,8.548
44500007870.211,8.551
50801938782.203,8.552
58458094218.928,8.554
68366108521.237,8.557
92019466241.804,8.56
106826653959.973,8.561
124374676947.54,8.563
148073570526.481,8.564
171153498885.787,8.565
196953269202.355,8.566
222466733525.074,8.566
257435871798.42,8.568
296571340323.773,8.568
347744601576.944,8.569
403531709484.254,8.569
475040861104.879,8.571
540574101553.827,8.571
