name,met_grad,e_met_grad
cdfs_24904,,
cdfs_26404,-0.016,0.020
cdfs_26954,0.017,0.022
cdfs_27318,-0.003,0.001
cdfs_28138,-0.040,0.042
cdfs_29207,-0.012,0.005
cdfs_29589,-0.012,0.033
cdfs_29831,,
cdfs_30267,-0.015,0.007
cdfs_30450,-0.086,0.052
cdfs_30557,-0.010,0.001
cdfs_30561,-0.011,0.010
cdfs_30732,-0.034,0.028
cdfs_30865,-0.001,0.008
cdfs_31127,-0.021,0.009
cdfs_31671,0.043,0.014
cdfs_31721,-0.075,0.026
cdfs_33014,-0.024,0.001
cdfs_33246,0.032,0.039
cdfs_35213,,
GS4_10784,-0.040,0.013
GS4_16960,0.005,0.001
