name,I_OII,SN_OII,I_Hb,SN_Hb,I_OIII5007,SN_OIII5007,I_Ha,SN_Ha,I_NII6584,SN_NII6584,I_SII6717,SN_SII6717,I_SII6731,SN_SII6731
cdfs_24904,0.02,8.58,0.02,4.14,0.10,24.89,0.15,124.74,0.03,25.83,0.05,41.64,0.01,9.58
cdfs_26404,0.20,4.12,0.09,1.11,0.59,7.01,1.08,18.95,0.37,6.41,0.52,10.05,0.05,1.21
cdfs_26954,0.00,-1.00,0.11,4.30,0.00,-1.00,0.45,26.67,0.21,12.19,0.16,5.77,0.03,1.70
cdfs_27318,0.10,4.69,0.27,6.57,0.15,3.66,0.57,38.57,0.19,13.15,0.06,4.50,0.08,3.07
cdfs_28138,0.02,2.27,0.09,7.36,0.07,5.59,0.24,68.65,0.05,13.96,0.12,17.07,0.02,3.34
cdfs_29207,-99,-99,0.04,2.95,0.01,0.92,0.21,22.74,0.12,13.20,0.07,4.86,0.02,2.60
cdfs_29589,0.11,8.22,0.08,4.14,0.11,5.64,0.20,33.21,0.03,5.68,0.05,11.12,0.03,7.46
cdfs_29831,0.04,5.41,0.09,7.42,0.17,14.73,0.21,33.37,0.01,1.88,0.03,3.66,0.03,9.88
cdfs_30267,0.02,0.73,0.28,9.42,0.00,-1.00,0.31,26.36,0.07,5.73,0.07,7.57,0.06,4.05
cdfs_30450,0.02,4.65,0.02,4.12,0.06,9.84,0.06,44.57,0.01,9.25,0.01,8.21,0.01,5.64
cdfs_30557,0.07,4.74,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
cdfs_30561,0.00,-1.00,0.00,-1.00,0.32,7.37,0.35,49.78,0.20,28.18,0.10,11.33,0.01,5.50
cdfs_30732,0.05,4.06,0.02,1.41,0.27,16.17,0.34,45.08,0.04,5.36,0.04,6.93,0.06,8.22
cdfs_30865,0.04,3.54,0.28,9.63,1.23,42.77,1.08,81.25,0.15,11.09,0.11,9.59,0.05,4.79
cdfs_31127,0.03,4.28,0.04,4.16,0.07,7.25,0.29,217.00,0.06,43.08,0.05,18.40,0.03,25.94
cdfs_31671,0.03,5.11,0.01,1.06,0.05,5.22,0.20,71.95,0.02,6.06,0.06,11.04,0.03,13.35
cdfs_31721,0.02,2.59,0.00,-1.00,0.20,9.36,0.30,114.56,0.03,12.35,0.03,8.48,0.05,31.75
cdfs_33014,-99,-99,0.09,6.46,0.31,23.29,0.30,39.94,0.02,3.05,0.05,11.76,0.04,16.60
cdfs_33246,-99,-99,0.02,1.73,0.12,11.75,0.24,92.87,0.05,17.42,0.02,12.22,0.02,3.09
cdfs_35213,0.01,-1.00,0.01,-1.00,0.00,-1.00,0.05,53.98,0.01,-1.00,0.01,-1.00,0.01,12.61
GS4_10784,-99,-99,0.07,2.91,0.39,16.83,0.58,87.07,0.12,17.69,0.07,21.39,0.08,51.27
GS4_16960,0.05,3.70,0.00,-1.00,0.30,7.30,0.95,68.26,0.56,40.35,0.15,8.50,0.07,7.36
