name,PPN2,e_PPN2,M13N2,e_M13N2,B18N2,e_B18N2,D16,e_D16,PPO3N2,e_PPO3N2,M13O3N2,e_M13O3N2,B18O3N2,e_B18O3N2,M08R23,e_M08R23,Scal,e_Scal,B18O32,e_B18O32,K19N2O2,e_K19N2O2
COS4_18969,8.34,0.02,8.34,0.04,8.43,0.02,8.45,0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cosmos_132082,8.92,0.02,8.62,0.03,8.82,0.01,8.99,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.90,0.10,8.76,0.09
COS4_19049,8.53,0.02,8.46,0.03,8.60,0.01,8.53,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.26,0.08,nan,nan
cosmos_132057,8.86,0.02,8.60,0.03,8.79,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cosmos_132520,8.46,0.06,8.42,0.05,8.54,0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cosmos_129899,8.86,0.03,8.60,0.03,8.79,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cosmos_132502,8.65,0.02,8.52,0.03,8.68,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fmos_sf_strong_48_sha_lm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cosmos_129410_lm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fmos_sf_weak_55_wha_hm,8.74,0.03,8.56,0.03,8.73,0.02,8.50,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cosmos_128220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cosmos_128449,8.38,0.00,8.37,0.03,8.47,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.17,0.09,8.66,0.12
cosmos_125697_hm,8.65,0.06,8.52,0.04,8.68,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COS4_09667,8.42,0.05,8.40,0.04,8.51,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COS4_11696,8.71,0.01,8.55,0.03,8.71,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.76,0.09
COS4_13038,8.61,0.02,8.50,0.03,8.65,0.01,8.52,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fmos_sf_weak_389_wha_mm,8.53,0.05,8.46,0.04,8.60,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cosmos_129830_sha_hm,9.02,0.05,8.65,0.03,8.86,0.02,8.98,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.79,0.09
COS4_16369,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fmos_sf_strong_76_sha_mm,8.54,0.01,8.47,0.03,8.61,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fmos_sf_strong_27_sha_lm,8.44,0.00,8.41,0.03,8.53,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
