name,dZdr_K19N2O2,e_dZdr_K19N2O2,dZdr_M08R23,e_dZdr_M08R23,dZdr_M13N2,e_dZdr_M13N2
cdfs_24904,nan,nan,nan,nan,0.057,0.058
cdfs_26404,0.027,0.013,nan,nan,0.015,0.007
cdfs_26954,nan,nan,nan,nan,0.007,0.014
cdfs_27318,nan,nan,nan,nan,-0.002,0.014
cdfs_28138,nan,nan,nan,nan,0.009,0.030
cdfs_29207,nan,nan,nan,nan,0.059,0.012
cdfs_29589,0.008,0.099,nan,nan,-0.016,0.025
cdfs_29831,nan,nan,0.084,0.033,nan,nan
cdfs_30267,nan,nan,nan,nan,-0.020,0.018
cdfs_30450,nan,nan,nan,nan,-0.069,0.074
cdfs_30557,nan,nan,nan,nan,nan,nan
cdfs_30561,nan,nan,nan,nan,-0.027,0.013
cdfs_30732,nan,nan,nan,nan,nan,nan
cdfs_30865,nan,nan,nan,nan,-0.011,0.018
cdfs_31127,-0.100,0.129,nan,nan,-0.012,0.041
cdfs_31671,nan,nan,nan,nan,0.040,0.016
cdfs_31721,nan,nan,nan,nan,0.048,0.020
cdfs_33014,nan,nan,nan,nan,nan,nan
cdfs_33246,nan,nan,nan,nan,-0.055,0.045
cdfs_35213,nan,nan,nan,nan,nan,nan
GS4_10784,nan,nan,nan,nan,-0.039,0.026
GS4_16960,nan,nan,nan,nan,0.006,0.008
COS4_18969,0.052,0.040,nan,nan,0.027,0.007
cosmos_132082,0.006,0.052,nan,nan,0.015,0.006
COS4_19049,nan,nan,nan,nan,nan,nan
cosmos_132057,nan,nan,nan,nan,0.017,0.042
cosmos_132520,nan,nan,nan,nan,-0.014,0.011
cosmos_129899,nan,nan,nan,nan,-0.043,0.037
cosmos_132502,nan,nan,nan,nan,0.029,0.030
fmos_sf_strong_48_sha_lm,nan,nan,nan,nan,0.086,0.066
cosmos_129410_lm,nan,nan,nan,nan,nan,nan
fmos_sf_weak_55_wha_hm,nan,nan,nan,nan,-0.023,0.015
cosmos_128220,nan,nan,nan,nan,nan,nan
cosmos_128449,0.034,0.314,nan,nan,-0.019,0.053
cosmos_125697_hm,nan,nan,nan,nan,0.034,0.010
COS4_09667,nan,nan,nan,nan,-0.008,0.011
COS4_11696,0.035,0.295,nan,nan,0.018,0.033
COS4_13038,nan,nan,nan,nan,0.025,0.013
fmos_sf_weak_389_wha_mm,nan,nan,nan,nan,0.001,0.012
cosmos_129830_sha_hm,-0.016,0.042,nan,nan,-0.001,0.005
COS4_16369,nan,nan,nan,nan,nan,nan
fmos_sf_strong_76_sha_mm,nan,nan,nan,nan,0.013,0.010
fmos_sf_strong_27_sha_lm,nan,nan,nan,nan,0.006,0.020

